batch	avg_loss	avg_acc	batch_acc	perp
1	4.046	0.031	0.031	57.197
2	3.817	0.049	0.068	45.490
3	3.681	0.054	0.062	39.671
4	3.608	0.054	0.055	36.877
5	3.526	0.058	0.076	33.983
6	3.467	0.058	0.055	32.027
7	3.403	0.062	0.084	30.066
8	3.356	0.060	0.051	28.661
9	3.310	0.064	0.092	27.376
10	3.276	0.066	0.082	26.480
11	3.249	0.067	0.087	25.769
12	3.224	0.069	0.082	25.135
13	3.204	0.069	0.070	24.635
14	3.188	0.070	0.078	24.229
15	3.168	0.071	0.086	23.765
16	3.155	0.071	0.076	23.447
17	3.140	0.071	0.080	23.112
18	3.127	0.072	0.082	22.815
19	3.113	0.072	0.064	22.488
20	3.101	0.072	0.082	22.220
21	3.092	0.073	0.084	22.014
22	3.083	0.073	0.072	21.832
23	3.080	0.072	0.047	21.769
24	3.072	0.073	0.096	21.590
25	3.066	0.072	0.054	21.462
26	3.060	0.072	0.085	21.332
27	3.054	0.073	0.078	21.192
28	3.046	0.074	0.098	21.040
29	3.042	0.073	0.070	20.941
30	3.035	0.074	0.092	20.801
31	3.030	0.075	0.100	20.698
32	3.025	0.075	0.090	20.590
33	3.022	0.076	0.098	20.523
34	3.018	0.076	0.072	20.452
35	3.015	0.076	0.080	20.384
36	3.010	0.077	0.105	20.288
37	3.007	0.077	0.074	20.223
38	3.004	0.077	0.072	20.161
39	2.999	0.077	0.086	20.075
40	2.996	0.077	0.096	19.999
41	2.993	0.078	0.097	19.940
42	2.989	0.078	0.088	19.862
43	2.986	0.078	0.061	19.814
44	2.983	0.078	0.090	19.746
45	2.981	0.078	0.085	19.702
46	2.978	0.078	0.098	19.641
47	2.975	0.078	0.074	19.587
48	2.973	0.078	0.072	19.548
49	2.969	0.079	0.123	19.471
50	2.966	0.079	0.086	19.409
51	2.963	0.080	0.100	19.357
52	2.960	0.080	0.098	19.306
53	2.958	0.080	0.082	19.256
54	2.956	0.080	0.092	19.228
55	2.954	0.080	0.088	19.187
56	2.951	0.081	0.088	19.134
57	2.950	0.081	0.094	19.105
58	2.949	0.081	0.074	19.080
59	2.947	0.081	0.093	19.051
60	2.946	0.081	0.092	19.022
61	2.943	0.082	0.117	18.963
62	2.941	0.082	0.088	18.926
63	2.939	0.082	0.078	18.895
64	2.937	0.082	0.076	18.867
65	2.936	0.082	0.090	18.834
66	2.933	0.082	0.086	18.789
67	2.931	0.082	0.115	18.749
68	2.929	0.083	0.104	18.716
69	2.927	0.083	0.100	18.669
70	2.925	0.083	0.108	18.631
71	2.924	0.083	0.092	18.609
72	2.921	0.084	0.100	18.564
73	2.920	0.084	0.115	18.538
74	2.919	0.084	0.073	18.515
75	2.916	0.084	0.105	18.476
76	2.915	0.084	0.098	18.450
77	2.914	0.084	0.061	18.439
78	2.913	0.084	0.084	18.420
79	2.913	0.084	0.084	18.413
80	2.911	0.084	0.100	18.378
81	2.910	0.085	0.107	18.364
