Epoch 1 TRAIN
batch	avg_loss	avg_acc	batch_acc	perp
1	3.740	0.125	0.125	42.091
2	3.409	0.250	0.375	30.231
3	3.399	0.292	0.375	29.930
4	3.437	0.250	0.125	31.099
5	3.359	0.225	0.125	28.750
6	3.165	0.240	0.312	23.700
7	3.106	0.232	0.188	22.334
8	3.105	0.211	0.062	22.312
9	2.986	0.222	0.312	19.799
10	3.019	0.212	0.125	20.477
11	3.026	0.205	0.125	20.607
12	2.957	0.214	0.312	19.249
13	2.990	0.207	0.125	19.883
14	2.902	0.219	0.375	18.209
15	2.895	0.221	0.250	18.076
16	2.884	0.219	0.188	17.887
17	2.911	0.213	0.125	18.382
18	2.890	0.215	0.250	17.997
19	2.882	0.207	0.062	17.841
20	2.862	0.206	0.188	17.503
21	2.852	0.202	0.125	17.317
22	2.815	0.205	0.250	16.688
23	2.786	0.212	0.375	16.215
24	2.758	0.214	0.250	15.763
25	2.735	0.215	0.250	15.405
26	2.733	0.209	0.062	15.377
27	2.732	0.206	0.125	15.365
28	2.739	0.203	0.125	15.471
29	2.740	0.203	0.188	15.491
30	2.729	0.206	0.312	15.322
31	2.706	0.208	0.250	14.966
32	2.698	0.207	0.188	14.850
33	2.679	0.212	0.375	14.575
34	2.652	0.219	0.438	14.186
35	2.644	0.218	0.188	14.070
36	2.659	0.217	0.188	14.275
37	2.661	0.216	0.188	14.304
38	2.654	0.215	0.188	14.216
39	2.659	0.212	0.062	14.278
40	2.659	0.211	0.188	14.278
41	2.679	0.210	0.188	14.563
42	2.685	0.207	0.062	14.665
43	2.672	0.211	0.375	14.471
44	2.664	0.212	0.250	14.360
45	2.650	0.215	0.375	14.147
46	2.633	0.215	0.188	13.918
47	2.628	0.218	0.375	13.843
48	2.624	0.217	0.188	13.797
49	2.626	0.217	0.188	13.819
50	2.621	0.221	0.438	13.745
51	2.619	0.219	0.125	13.719
52	2.616	0.220	0.250	13.679
53	2.611	0.219	0.188	13.616
54	2.609	0.219	0.188	13.589
55	2.614	0.216	0.062	13.648
56	2.618	0.214	0.125	13.709
57	2.608	0.216	0.312	13.577
58	2.607	0.214	0.125	13.554
59	2.603	0.212	0.062	13.503
60	2.598	0.210	0.125	13.437
61	2.597	0.209	0.125	13.429
62	2.595	0.207	0.062	13.396
63	2.592	0.207	0.250	13.353
64	2.590	0.206	0.125	13.332
65	2.588	0.204	0.062	13.304
66	2.582	0.207	0.438	13.226
67	2.578	0.207	0.188	13.170
68	2.575	0.206	0.125	13.126
69	2.565	0.206	0.188	13.006
70	2.572	0.205	0.188	13.090
71	2.582	0.203	0.062	13.229
72	2.578	0.204	0.250	13.168
73	2.576	0.203	0.125	13.145
74	2.572	0.202	0.125	13.094
75	2.565	0.205	0.438	13.003
76	2.567	0.205	0.188	13.031
77	2.566	0.204	0.125	13.018
78	2.565	0.204	0.250	13.007
79	2.562	0.206	0.312	12.959
80	2.558	0.204	0.062	12.910
81	2.555	0.205	0.312	12.876
82	2.553	0.205	0.188	12.848
83	2.550	0.207	0.375	12.812
84	2.557	0.205	0.062	12.894
85	2.550	0.207	0.312	12.806
86	2.550	0.205	0.062	12.811
87	2.549	0.205	0.250	12.792
88	2.544	0.204	0.062	12.732
89	2.540	0.204	0.188	12.683
