train_index	loss	acc	batch_acc	perp
1	2.893	0.000	0.000	18.051
2	2.870	0.052	0.103	17.639
3	2.853	0.064	0.087	17.334
4	2.841	0.067	0.078	17.132
5	2.831	0.071	0.084	16.959
6	2.824	0.072	0.081	16.844
7	2.820	0.076	0.097	16.784
8	2.818	0.075	0.066	16.741
9	2.816	0.074	0.069	16.703
10	2.811	0.074	0.075	16.632
11	2.808	0.074	0.069	16.576
12	2.803	0.073	0.066	16.491
13	2.799	0.075	0.097	16.425
14	2.794	0.076	0.087	16.348
15	2.791	0.075	0.059	16.293
16	2.793	0.073	0.044	16.330
17	2.791	0.073	0.084	16.294
